1,8,15,6,10,13,4,5,13,7,11,11,2,15,1,5
10,2,10,16,3,7,13,15,6,2,5,4,12,8,11,14
4,13,3,10,14,1,8,9,1,11,15,14,6,3,5,9
8,15,6,14,16,4,10,12,3,15,2,2,9,5,9,11
5,13,4,11,14,3,8,11,1,12,1,15,7,4,6,9
6,14,6,12,16,3,9,11,3,13,1,16,9,4,7,11
12,3,10,2,4,9,14,16,7,3,6,6,13,9,13,15
14,6,14,4,7,11,2,3,10,5,10,8,16,12,15,2
13,5,12,3,7,10,16,3,9,5,8,8,15,12,14,2
12,5,11,3,5,9,16,1,9,3,7,6,14,10,13,16
16,7,15,5,8,12,2,4,11,7,10,10,1,14,16,4
2,10,1,8,11,16,5,8,14,9,13,12,5,16,4,6
9,16,8,14,2,5,11,13,4,15,4,2,10,6,9,12
1,10,16,7,10,15,4,6,14,8,12,12,3,16,2,6
9,1,8,16,2,6,13,14,5,1,4,3,12,7,11,13
4,11,2,9,13,16,6,9,15,10,15,13,5,1,4,7
