13,13,1,2,5,5,7,9,6,15,15,10,16,11,8,4
6,5,11,11,13,14,1,2,16,8,7,4,9,5,1,12
12,11,16,2,3,5,6,8,5,15,13,9,15,10,8,2
5,3,9,9,12,12,14,1,13,6,5,1,7,3,15,10
14,13,2,3,5,7,8,10,8,16,15,11,1,12,10,4
1,1,5,7,8,9,12,13,10,3,3,14,4,15,12,8
3,1,7,7,9,10,12,15,11,5,3,15,6,16,14,8
3,2,7,8,11,11,14,15,12,5,4,1,6,2,14,9
7,7,11,12,14,16,1,4,16,10,8,4,10,5,2,14
16,15,4,6,7,8,10,12,9,2,1,13,3,15,11,6
6,4,9,10,12,13,15,2,14,7,6,2,9,3,16,11
15,14,3,5,6,7,9,11,8,1,1,12,2,13,11,5
8,7,13,13,15,1,2,4,1,11,9,6,11,7,3,14
10,9,14,16,1,2,4,6,3,12,11,7,14,8,6,16
9,9,13,14,16,1,3,5,3,11,10,7,12,7,4,15
11,10,16,16,2,4,5,7,4,13,12,8,15,9,7,1
