10,7,13,3,16,12,8,15,9,5,3,4,14,2,6,12
13,10,1,5,3,16,11,3,12,8,6,7,1,4,9,14
4,16,6,11,9,5,2,8,2,14,12,13,7,10,16,4
6,3,9,14,13,8,4,11,5,2,15,16,10,13,2,7
11,8,14,3,1,14,9,16,10,6,4,6,15,2,7,12
15,12,2,8,5,1,13,5,14,11,8,9,4,6,11,16
9,6,13,1,15,11,7,14,8,4,2,4,13,1,5,10
16,13,3,9,6,2,15,5,15,11,10,10,4,7,12,1
2,15,5,10,9,4,16,7,2,13,11,12,6,10,14,4
2,14,4,9,7,4,15,7,16,12,11,11,5,8,13,2
7,4,10,16,13,9,6,12,6,3,16,1,11,15,3,8
12,10,15,4,2,14,10,1,12,7,5,6,1,3,8,13
6,2,8,13,11,7,3,10,4,16,14,16,9,12,2,6
8,5,12,16,14,10,6,13,8,3,1,2,13,15,4,9
4,2,7,12,10,6,3,9,3,16,13,14,8,11,16,5
14,11,1,6,5,16,12,3,14,9,7,9,2,5,10,16
