8,12,2,3,16,14,9,10,11,5,14,2,6,16,7,4
12,16,5,7,3,3,13,15,15,10,1,6,11,4,12,8
2,7,11,13,9,8,4,4,5,15,8,12,16,10,1,15
1,5,10,13,8,7,2,4,4,15,6,12,15,9,16,13
11,14,4,5,1,1,11,12,13,7,15,4,9,2,9,6
5,9,14,1,12,11,7,7,9,2,11,15,3,13,5,1
5,8,14,15,11,10,5,7,7,1,9,15,2,12,3,1
9,14,2,4,16,15,10,11,13,6,14,3,7,1,9,5
6,10,15,1,14,12,7,8,9,3,11,1,4,15,5,2
11,15,5,6,2,1,13,13,14,8,16,5,10,3,10,8
7,12,16,2,15,13,8,9,10,5,12,2,5,16,6,3
4,7,13,14,10,10,4,5,6,16,9,13,1,11,2,15
16,4,9,11,7,6,2,2,3,14,5,10,15,8,15,13
14,1,6,8,4,3,14,15,16,10,3,7,11,6,12,9
15,3,8,11,6,5,16,2,2,13,4,10,13,7,14,12
14,3,7,9,5,5,15,16,1,11,3,8,12,7,13,10
