11,3,7,8,11,13,1,8,4,6,9,2,16,16,12,14
16,7,10,12,14,2,5,11,8,9,14,6,3,5,16,3
16,8,12,13,15,2,6,12,10,10,14,7,5,5,1,3
5,12,15,1,4,6,11,16,13,15,2,12,8,9,5,8
9,1,5,6,8,12,15,5,3,3,7,16,14,14,11,12
1,10,12,15,16,3,8,13,10,12,15,8,5,6,2,4
4,11,14,16,3,5,9,16,12,13,1,11,7,8,5,6
12,4,8,9,11,15,2,8,6,6,11,3,1,1,13,16
14,5,8,11,12,15,4,9,6,8,11,4,1,3,14,16
5,13,1,2,4,8,11,1,15,15,3,12,10,10,7,8
15,6,9,11,14,16,4,10,7,9,12,6,2,3,15,1
2,11,13,15,1,4,9,14,12,12,16,9,7,7,4,5
10,2,6,7,9,13,16,6,3,4,9,1,14,16,11,14
7,16,2,4,7,9,14,3,16,2,5,14,12,12,8,10
6,14,1,4,5,8,12,3,15,16,5,13,10,11,8,9
9,16,3,5,7,11,14,4,2,2,6,16,12,14,9,11
