10,6,12,13,9,3,16,16,6,11,1,8,2,5,14,7
11,6,14,14,10,4,16,1,7,12,3,9,3,5,15,9
16,11,2,3,16,9,6,6,13,1,7,14,9,10,4,13
13,8,15,1,12,6,2,4,9,14,5,11,5,7,1,11
12,8,14,15,12,5,1,2,8,13,3,10,4,6,1,9
1,12,4,4,16,10,6,8,13,2,8,15,9,11,5,14
8,4,10,12,7,1,13,14,5,9,15,6,16,3,12,5
3,14,5,6,2,12,8,10,15,5,10,1,12,13,7,1
6,16,7,8,5,14,10,11,1,6,12,4,13,15,9,2
2,13,5,5,1,11,7,8,14,3,10,16,10,12,7,15
10,4,11,12,8,3,14,15,5,10,16,7,2,3,13,6
6,1,9,9,5,15,11,12,2,8,13,4,14,16,10,3
14,9,16,1,13,7,4,4,11,15,5,12,6,9,2,11
4,15,6,7,3,14,9,10,16,5,11,3,12,14,9,1
7,3,9,10,6,16,12,14,3,9,14,5,15,2,11,4
16,10,1,2,14,8,5,5,11,16,6,13,7,9,4,12
